dataset,backbone,loss,bits,features,applicable,feature_definition,protocol,map_pct,codes_file,source
Houston2013,MoE-Mamba,CSQ,64,all,yes,,,,codes/Houston2013/MoE-Mamba/CSQ/64/all.npz,
Houston2013,MoE-Mamba,DPN,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/DPN/16/cls.npz,
Houston2013,MoE-Mamba,DPN,16,all,yes,,,,codes/Houston2013/MoE-Mamba/DPN/16/all.npz,
Houston2013,MoE-Mamba,DPN,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/DPN/32/cls.npz,
Houston2013,MoE-Mamba,DPN,32,all,yes,,,,codes/Houston2013/MoE-Mamba/DPN/32/all.npz,
Houston2013,MoE-Mamba,DPN,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/DPN/64/cls.npz,
Houston2013,MoE-Mamba,DPN,64,all,yes,,,,codes/Houston2013/MoE-Mamba/DPN/64/all.npz,
Houston2013,MoE-Mamba,DSH,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSH/16/cls.npz,
Houston2013,MoE-Mamba,DSH,16,all,yes,,,,codes/Houston2013/MoE-Mamba/DSH/16/all.npz,
Houston2013,MoE-Mamba,DSH,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSH/32/cls.npz,
Houston2013,MoE-Mamba,DSH,32,all,yes,,,,codes/Houston2013/MoE-Mamba/DSH/32/all.npz,
Houston2013,MoE-Mamba,DSH,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSH/64/cls.npz,
Houston2013,MoE-Mamba,DSH,64,all,yes,,,,codes/Houston2013/MoE-Mamba/DSH/64/all.npz,
Houston2013,MoE-Mamba,GreedyHash,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/16/cls.npz,
Houston2013,MoE-Mamba,GreedyHash,16,all,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/16/all.npz,
Houston2013,MoE-Mamba,GreedyHash,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/32/cls.npz,
Houston2013,MoE-Mamba,GreedyHash,32,all,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/32/all.npz,
Houston2013,MoE-Mamba,GreedyHash,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/64/cls.npz,
Houston2013,MoE-Mamba,GreedyHash,64,all,yes,,,,codes/Houston2013/MoE-Mamba/GreedyHash/64/all.npz,
Houston2013,MoE-Mamba,HashNet,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/16/cls.npz,
Houston2013,MoE-Mamba,HashNet,16,all,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/16/all.npz,
Houston2013,MoE-Mamba,HashNet,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/32/cls.npz,
Houston2013,MoE-Mamba,HashNet,32,all,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/32/all.npz,
Houston2013,MoE-Mamba,HashNet,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/64/cls.npz,
Houston2013,MoE-Mamba,HashNet,64,all,yes,,,,codes/Houston2013/MoE-Mamba/HashNet/64/all.npz,
Houston2013,MoE-Mamba,IDHN,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/16/cls.npz,
Houston2013,MoE-Mamba,IDHN,16,all,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/16/all.npz,
Houston2013,MoE-Mamba,IDHN,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/32/cls.npz,
Houston2013,MoE-Mamba,IDHN,32,all,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/32/all.npz,
Houston2013,MoE-Mamba,IDHN,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/64/cls.npz,
Houston2013,MoE-Mamba,IDHN,64,all,yes,,,,codes/Houston2013/MoE-Mamba/IDHN/64/all.npz,
